street,city,zip,state,beds,baths,sq__ft,type,price
7957 VALLEY GREEN DR,SACRAMENTO,95823,CA,3,2,1185,Residential,178480
1122 WILD POPPY CT,GALT,95632,CA,3,2,1406,Residential,178760
4520 BOMARK WAY,SACRAMENTO,95842,CA,4,2,1943,Multi-Family,179580
9012 KIEFER BLVD,SACRAMENTO,95826,CA,3,2,1172,Residential,181000
5332 SANDSTONE ST,CARMICHAEL,95608,CA,3,1,1152,Residential,181872
5993 SAWYER CIR,SACRAMENTO,95823,CA,4,3,1851,Residential,182587
4844 CLYDEBANK WAY,ANTELOPE,95843,CA,3,2,1215,Residential,182716
306 CAMELLIA WAY,GALT,95632,CA,3,2,1130,Residential,182750
9021 MADISON AVE,ORANGEVALE,95662,CA,4,2,1603,Residential,183200
404 6TH ST,GALT,95632,CA,3,1,1479,Residential,188741
8317 SUNNY CREEK WAY,SACRAMENTO,95823,CA,3,2,1420,Residential,189000
2617 BASS CT,SACRAMENTO,95826,CA,3,2,1280,Residential,192067
7005 TIANT WAY,ELK GROVE,95758,CA,3,2,1586,Residential,194000
7895 CABER WAY,ANTELOPE,95843,CA,3,2,1362,Residential,194818
7624 BOGEY CT,SACRAMENTO,95828,CA,4,4,2162,Multi-Family,195000
6930 HAMPTON COVE WAY,SACRAMENTO,95823,CA,3,2,1266,Residential,198000
8708 MESA BROOK WAY,ELK GROVE,95624,CA,4,2,1715,Residential,199500
120 GRANT LN,FOLSOM,95630,CA,3,2,1820,Residential,200000
5907 ELLERSLEE DR,CARMICHAEL,95608,CA,3,1,936,Residential,200000
17 SERASPI CT,SACRAMENTO,95834,CA,0,0,0,Residential,206000
170 PENHOW CIR,SACRAMENTO,95834,CA,3,2,1511,Residential,208000
8345 STAR THISTLE WAY,SACRAMENTO,95823,CA,4,2,1590,Residential,212864
9080 FRESCA WAY,ELK GROVE,95758,CA,4,2,1596,Residential,221000
391 NATALINO CIR,SACRAMENTO,95835,CA,2,2,1341,Residential,221000
8373 BLACKMAN WAY,ELK GROVE,95624,CA,5,3,2136,Residential,223058
9837 CORTE DORADO CT,ELK GROVE,95624,CA,4,2,1616,Residential,227887
5037 J PKWY,SACRAMENTO,95823,CA,3,2,1478,Residential,231477
10245 LOS PALOS DR,RANCHO CORDOVA,95670,CA,3,2,1287,Residential,234697
6613 NAVION DR,CITRUS HEIGHTS,95621,CA,4,2,1277,Residential,235000
2887 AZEVEDO DR,SACRAMENTO,95833,CA,4,2,1448,Residential,236000
9186 KINBRACE CT,SACRAMENTO,95829,CA,4,3,2235,Residential,236685
4243 MIDDLEBURY WAY,MATHER,95655,CA,3,2,2093,Residential,237800
1028 FALLON PLACE CT,RIO LINDA,95673,CA,3,2,1193,Residential,240122
4804 NORIKER DR,ELK GROVE,95757,CA,3,2,2163,Residential,242638
7713 HARVEST WOODS DR,SACRAMENTO,95828,CA,3,2,1269,Residential,244000
2866 KARITSA AVE,SACRAMENTO,95833,CA,0,0,0,Residential,244500
6913 RICHEVE WAY,SACRAMENTO,95828,CA,3,1,958,Residential,244960
8636 TEGEA WAY,ELK GROVE,95624,CA,5,3,2508,Residential,245918
5448 MAIDSTONE WAY,CITRUS HEIGHTS,95621,CA,3,2,1305,Residential,250000
18 OLLIE CT,ELK GROVE,95758,CA,4,2,1591,Residential,250000
4010 ALEX LN,CARMICHAEL,95608,CA,2,2,1326,Condo,250134
4901 MILLNER WAY,ELK GROVE,95757,CA,3,2,1843,Residential,254200
4818 BRITTNEY LEE CT,SACRAMENTO,95841,CA,4,2,1921,Residential,254200
5529 LAGUNA PARK DR,ELK GROVE,95758,CA,5,3,2790,Residential,258000
230 CANDELA CIR,SACRAMENTO,95835,CA,3,2,1541,Residential,260000
